EventNum,SpeakNum,Speaker,Speak
1,0,15년 후...,
3,0,엘리스,"엄마, 올해도 엄마가 좋아하는 꽃을 가지고 왔어요."
3,1,엘리스,"남편과 아이들도 데려 왔어요."
3,2,엘리스,"할머니 보러 오고 싶다고 해서요."
3,3,엘리스,"애들도 이제 많이 커서 엄마 사진 보면서 할머니, 할머니 한다니까요. 후후."
3,4,엘리스,"그날 이후로는 남편이나 저나 더 이상 악마가 나타나는 일은 없었어요."
3,5,엘리스,"이젠 정말 영원히 사라진 게 아닌가 싶지만 그래도 항상 대비는 해야겠죠..."
3,6,엘리스,"그리고 이번에 동화책을 출간하게 되었어요."
3,7,엘리스,"동물의 숲에서 벌어지는 희망과 사랑에 대한 내용이에요."
3,8,엘리스,"사람들이 악에 빠져들지 않도록 저만의 방식으로 도우려고 해요.."
3,9,엘리스,"저 잘하고 있는 거 맞죠?"
3,10,엘리스,"저도 엄마가 되고 보니.. 그때 엄마가 했던 일들도 더 생각이 많이 나요.."
3,11,엘리스,"그래서 뭐랄까.. 아쉬움도 더 커지는 것도 같아요.."
3,12,엘리스,"그때 엄마가 지켜준다고 했던 그 말이,"
3,13,엘리스,"...엄마의 사랑이 제 귓가에 계속 남아있어요..."
3,14,엘리스,"앞으로도 엄마의 바람대로 행복하게 잘 살게요..."
3,15,엘리스,"엄마.. 사랑해요..."
