EventNum,SpeakNum,Speaker,Speak
1,0,,거울의 목소리
2,0,"엘리스의 이모는 남다른 미모로 마을에서 큰 인기를 누렸고 많은 남자들이 환심을 사기 위해 노력했지만, 이모는 아름다움 그 자체에만 관심이 있었다.",
2,1,"하지만 나이가 들면서 미모가 사라져가는 것에 큰 공포를 느꼈던 이모는 우연히 어떤 골동품상에게 가장 아름다웠을 때의 모습만을 비춰준다는 거울을 구매하게 된다.",
2,2,"어느 날 밤 거울을 보며 자신의 아름다움을 감상하던 이모에게 거울 속에서 목소리가 들려왔다, '내 말을 따르면 영원한 아름다움을 갖게 될 거야......'",
2,3,"처음에는 이모도 믿지 않았지만 계속해서 들리는 목소리에 혹시나 하는 생각에 거울이 알려준 대로 길고양이를 잡아 그 피를 자신의 얼굴에 바르게 된다.",
2,4,"다음 날 거울 속의 자신이 더욱 아름다워졌음을 느낀 이모는 계속해서 거울의 말을 듣게 되고, 영원한 아름다움을 위해 더욱 잔혹한 일들을 벌이게 된다.",
2,5,"그렇게 외부와 단절한 채 거울하고만 대화하며 지내던 이모는 점점 쇠약해졌고, 거울과 대화한지 100일째 되던 날 거울은 평소와는 다른 목소리로 말했다.",
2,6,"거울은 '이제 거울 속으로 들어오면 너는 영원한 아름다움을 간직할 수 있어!' 라고 얘기했고, 이모는 환희에 찬 표정으로 거울 속으로 자신의 몸을 던졌다.",
2,7,"그러자 커다란 거울이 이모 쪽으로 강하게 쓰러지면서 그녀를 덮쳤고, 이모는 날카롭게 부서진 거울조각에 찔려 죽음을 맞이하게 되었다.",
2,8,"엘리스는 이모집에 심부름을 갔다가 이모가 죽어있는 장면을 보고 큰 충격과 함께 거울에 대한 트라우마가 생기게 되었다.",
4,0,엘리스,"뭐야?? 여긴 또 어디야?"
4,1,엘리스,"난... 분명히 침대에서 자고 있었는데..."
4,2,엘리스,"이것도 역시 꿈인가? 하지만 꿈 치고는 너무 생생해!"
5,0,베네디,"거울아... 거울아... 세상에서 누가 가장 아름답니? 바로 나? 호호호! 역시 넌 정확해~"
5,1,엘리스,"...저건 대체 뭐야? 그런데 이 목소리는 많이 들어본 목소린데... 설마 이모!?"
5,2,베네디,"뭐? 이 아름다움을 유지하려면 우리 엘리스의 피가 필요하다고? 엘리스야.. 들었지? 호호호.. 어서 일로와!!"
7,0,a,"엘리스, 너도 나처럼 아름답게 만들어줄게!"
7,1,b,"엘리스, 이건 내가 아니야! 어서 여길 벗어나!"
7,2,a,"엘리스, 너도 아름답고 싶잖아... 너에게 새빨간 아름다움을 보여줄게!"
7,3,b,"엘리스, 거울을 들고 있으면 얼음조각을 나에게 다시 보내서 공격할 수 있어!"
7,4,a,"거울아... 거울아... 세상에서 누가 가장 아름답니? 뭐? 내가 아니라고?"
7,5,b,"내 조카를 건들지마! 영원한 아름다움 같은 건 애초부터 없었어!"
7,6,a,"이 못난이 엘리스가 나보다 예쁘다고? 참을 수 없어! 가만두지 않겠어!!"
8,0,베네디,"거울에 비친 이게 뭐지? 이게 내 얼굴이라고!! 말도 안돼!! 이렇게 끔찍하다니..."
8,1,이모,"그게 바로 진짜 너야, 겉으로 보이는 아름다움에 심취해서 뒤틀려져 버린 내면의 모습이지..."
8,2,베네디,"웃기지마! 난 영원히 아름다워야 한다고... 엘리스! 빨리 날 도와줘! 이런 모습으로 한 순간도 살고 싶지 않아!!"
8,3,이모,"엘리스... 구해줘서 고마워. 그리고 나의 어리석음으로 너에게 상처를 남겨서 미안해..."
8,4,엘리스,"이모..? 이모 맞죠? 어떻게 된 거에요?"
8,5,이모,"우리 엘리스, 항상 힘내야해... 잘 자렴..."
8,6,엘리스,"이모!!!"
9,0,베네디,"엘리스 넌 이제 내꺼야!! 후후후"
