EventNum,SpeakNum,Speaker,Speak
1,0,,악의 근원
2,0,"그것은 고대의 어떤 종교 집단의 금지된 의식에서 시작되었다.",
2,1,"교단은 인간의 욕망과 분노, 탐욕을 흡수하는 장치를 만들었고, 그곳에서 '악의 근원'이라 불리는 존재가 태어났다.",
2,2,"사람들은 그 존재를 '악마'라고 부르며 두려워하고 숭배했고, 악마는 인간의 정신을 흡수하며 점점 더 강해져 갔다.",
2,3,"그리고 자신을 만들어낸 인간이 결국 자신보다 약한 존재라는 것을 깨닫고 그들을 타락시켜 말살시키고자 하였다.",
2,4,"시체가 산을 이루고 많은 사람들이 죽은 끝에 악마 앞에 '순수한 인간'이 나타난다.",
2,5,"그는 자신의 생명을 희생하여 악마를 꿈의 세계에 봉인하는데 성공한다.",
2,6,"하지만 악마는 악몽을 통해 약해진 인간의 육체를 옮겨 다니며 100년에 한번씩 나타나는 '순수한 인간'을 찾아 다녔다.",
2,7,"순수한 인간'의 육체를 빼앗으면 세상의 모든 것을 타락시킬 수 있는 힘을 얻을 수 있었기 때문이었다.",
2,8,"악마는 어느 한 마술사의 육체를 차지한 채로 여행을 다니던 중 오빠와 함께 마술 쇼를 구경하러 오게 된 ‘순수한 엘리스'를 만나게 된다.",
2,9,"그 후 악마는 엘리스의 주변 사람들을 한 명씩 타락시켜 죽게 만들고 엘리스의 어머니의 육체까지 차지한다.",
2,10,"그리고 이제 마지막으로 엘리스의 육체를 취하기 위한 악마의 마지막 꿈이 시작된다.",
4,0,엘리스,"여긴 어디지? 왠지 낯익어.. 여기는 내가 다녔던 학교의 교실이야.."
4,1,엘리스,"엄청나게 큰 두려움이 느껴져.. 엄마.. 제발 저에게 힘을 주세요.."
5,0,이드,"드디어.. 수확의 시간이 왔어.. 엘리스.. 흐흐흐.."
5,1,엘리스,"...이건 나하고 너무 닮았잖아.. 심지어 목소리까지 내 목소리야!"
5,2,이드,"난 이미 너야, 엘리스.. 이미 너의 몸을 차지하고 있었던 거지.. 바보 같은 네 엄마는 그걸 몰랐던 거고. 킥킥.."
5,3,엘리스,"그럴 리가 없어.. 나는 악마 같은 게 아니야!"
5,4,이드,"잘 생각해봐. 네가 엄마한테 한 행동들.. 그 독설들... 그것들이 어디서 나왔을까? 그것들이 엄마의 병을 악화시켰다는 건 알고 있겠지?"
