EventNum,SpeakNum,Speaker,Speak
1,0,,잿빛 선물 
2,0,"엘리스의 아버지는 장난감을 만드는 가게를 운영하셨고, 어린아이들에게 재미난 장난감을 주며 즐겁게 살아가고 있었다.",
2,1,"크리스마스날에는 산타 복장을 입고, 엘리스와 오빠에게 장난감 선물을 주는 이벤트도 준비하는 좋은 아버지였다.",
2,2,"하지만 어느 날 엘리스의 아버지가 운영하는 장난감 가게에 화재가 발생했고, 그가 만든 모든 것들이 재가되어 하늘로 흩어져 버렸다.",
2,3,"그 후 망연자실하여 술로 세월을 보내던 아버지는 불타버린 장난감가게의 발화지점에서 자신의 친구인 인형공장 사장의 넥타이 조각을 발견하게 된다.",
2,4,"하지만 증거는 없었고, 결국 복수심에 불탄 그는 자신이 당했던 것처럼 인형 공장을 폭파시키기로 결심하고 불타버린 자신의 가게 안에서 폭탄을 제조한다.",
2,5,"그러나 너무 급하게 폭탄을 제조하던 중 실수로 폭발이 일어나 엘리스의 아버지는 흔적도 없이 사라지고 말았다.",
2,6,"폭발 현장에 널브러져 있는 선물상자를 바라보며 엘리스는 선물상자에 대한 큰 트라우마를 갖게 된다.",
4,0,엘리스,"여긴 예전에 살던 우리 집 거실인데?"
4,1,엘리스,"이 식탁에 음식들은 크리스마스에 가족들과 먹었던 음식들이야... "
4,2,엘리스,"또 다시 꿈 속 인거야, 역시 엄마와 관련된 뭔가가 있어!"
5,0,벤전스,"자아... 내 딸 엘리스... 선물을 받을 시간이다!"
5,1,엘리스,"...저건 대체 뭐야? 그런데 이 목소리는 많이 들어본 목소리인데... 설마 아빠!?"
5,2,벤전스,"엘리스 너에게 선물을 주려고 기다리고 있었단다, 흐흐흐.."
7,0,a,"엘리스, 이건 펑하고 터지는 아주 멋진 선물이야!"
7,1,b,"엘리스, 엘리스 어서 피해! 이건 진짜 내가 아니야!"
7,2,a,"엘리스야 너를 위해 아주 멋진 폭탄 선물을 준비했어! 이게 터지면 어떻게 될지 기대되지 않니!?"
7,3,b,"엘리스, 내 몸에서 나온 시한 폭탄을 선물상자에 달아서 날 폭파시켜!"
7,4,a,"왜 내 선물을 안받는 거지? 엘리스~ 복수할거야! 복수하고 말거라고!!"
7,5,b,"이 나쁜새끼! 내 딸은 건들지마! 복수도 이미 끝났잖아!"
7,6,a,"내 복수가 끝날 때까지 아무도 여기서 못나간다! 흐흐흐..."
8,0,벤전스,"안돼!! 아직 복수는 끝나지 않았다고! 그 놈에게 나와 똑같은 고통을 줘야 한다고!!"
8,1,아빠,"그 놈은 이미 죽었어.., 결국 죄를 지으면 죄값을 받게 되어 있는 거야... 이제 네가 할 수 있는 일은 아무것도 없어..."
8,2,벤전스,"아니야! 이 폭탄 선물을 꼭 전해줘야 해! 아니면 엘리스 너라도 이걸 받으란 말이다!"
8,3,아빠,"엘리스... 못난 아빠를 구해줘서 고맙고 아빠가 정말 미안하다... 복수에 미쳐 가정을 돌보지 못했구나..."
8,4,아빠,"너와 엄마에게 정말 면목이 없어... 그래도 너만은 꼭 행복해져야 한다. 내가 바라는 건 오직 그것 뿐이야..."
8,5,엘리스,"아빠...? 아빠 맞지? 가지마! 나랑 엄마만 두고 어딜 가는 거야?"
8,6,아빠,"세상에서 가장 소중한 우리 딸 엘리스... 마음을 굳게 먹어야 한다... 그럼 잘 자렴..."
8,7,엘리스,"아빠!!"
9,0,벤전스,"엘리스 넌 이제 영원히 여기 있는거야!! 크크크"
