EventNum,SpeakNum,Speaker,Speak
1,0,,인과응보
2,0,"장난감 공장 사장은 엘리스 아버지의 오랜 친구였고 둘은 장난감을 사랑하는 마음으로 협력하였다.",
2,1,"그러나 장난감 공장 사장은 사실 오랫동안 엘리스의 아버지를 시기하고 있었다.",
2,2,"그는 가족도 없었고, 결혼도 하지 않았고, 자녀도 없었다. 오로지 성공에 대한 집념으로 공장 사장까지 되었다.",
2,3,"그에 비해 엘리스의 아버지는 많은 가족과 아내와 어여쁜 딸도 있었고 장난감 공장 사장은 멀리서 지켜보며 부러워했다.",
2,4,"그러던 중 자신이 개발한 신제품이 흥행에 실패하고 반면에 엘리스의 아버지가 새로 디자인한 인형이 인기를 끌게 된다.",
2,5,"자신의 오랜 친구였던 만큼 참아왔던 시기심이 극에 다다른 공장사장은 엘리스의 아버지 장난감 가게를 몰래 폭파시킨다.",
2,6,"경찰의 1차 조사를 피했지만 결국 꼬리를 잡히게 되고 증거품을 갖고 있는 엘리스의 엄마를 돈으로 회유하려고 공장으로 불러낸다.",
2,7,"하지만 공장 사장 때문에 남편을 잃은 엘리스의 엄마는 공장에서 그를 총으로 쏴 죽이고 말았다.",
2,8,"그는 피를 흘리며 마지막 죽음의 순간에서야 자신의 시기심이 결국 자신을 죽음으로 몰아넣었다는 것을 깨달았다.",
4,0,엘리스,"여긴 어디지? 너무 답답하고 기름냄새도 많이 나..."
4,1,엘리스,"또 다시 꿈 속이야.. 이번엔 분명 공장 사장..."
5,0,엔비,"나의 보석.. 가질 수 없었던 내 가족을 대신할 엘리스!"
5,1,엘리스,"...저건 공장사장 목소리야.. 끔찍하게 변해버렸어.."
5,2,엔비,"엘리스야 이제부터 우린 멋진 새로운 가족이 되는 거야 크하하하!"
7,0,a,"엘리스, 난 너 같은 딸을 정말 갖고 싶었어! 내 딸이 되어다오!"
7,1,b,"엘리스, 일단 피하거라... 이건 내가 아니다..."
7,2,a,"엘리스, 내 공장에 있는 모든 인형을 너에게 선물로 주겠어! 어때? 기쁘지?"
7,3,b,"엘리스야 돈 주머니를 컨베이어 벨트에 올려서 날 쓰러뜨리거라!"
7,4,a,"난 네 아버지를 증오한다!! 내가 갖지 못한 가족을 갖다니!! 그러니 너도 증오해주마 크하하하!"
7,5,b,"추악한 놈... 넌 아무것도 가질 수 없어.. 엘리스는 건들지마!"
7,6,a,"내가 가질 수 없다면 그 누구도 가져선 안돼!!"
8,0,엔비,"안돼!! 난 아직 가족을 갖지 못했어! 엘리스 넌 나의 가족이 되어야 해!"
8,1,공장사장,"이 불쌍하고 어리석은 놈아.. 네가 가족이 없는 이유는 다른 사람을 사랑하려 하지 않았기 때문이야.. "
8,2,공장사장,"외로운 건 전부 너의 탓이라고.. "
8,3,엔비,"난 영원히 외롭게 살기 싫어... 사실은 외로운 게 너무 싫었단 말이야!! "
8,4,공장사장,"엘리스.. 내가 네 아버지의 가게에 불을 지르고 너를 불행하게 만들었다.. "
8,5,공장사장,"영원히 벌을 받으며 참회하겠지만.. 너를 볼 면목이 없구나.. 미안하다..."
8,6,엘리스,"당신.. 우리 가족에게 왜 그랬어!? 우리 아빠는 당신의 친구였잖아.. 당신은.. 짐승이야!!"
8,7,공장사장,"... 정말 죽을 죄를 지었구나.. 미안하다 엘리스.. "
8,8,공장사장,"나의 시기심이 악마를 불러들였고.. 악마에게 몸을 빼앗겼다.. "
8,9,엘리스,"그런 변명으로 당신이 한 짓이 정당화 될 수는 없어.."
8,10,공장사장,"그렇지.. 그 어떤 방식으로도 너에게 용서를 구할 수가 없구나.. "
8,11,공장사장,"다만 악마는 지금 네 엄마에게 들어가 있다는 것만 말해주고 싶구나.."
8,12,엘리스,"뭐라고!? 그게 정말 사실이야? 당신이 우리 엄마까지 건든 거야?"
8,13,공장사장,"1년 전 네 엄마와 만났을 때 내 안에 있던 악마가 네 엄마의 복수심을 이용해 그녀의 몸을 빼앗았고.. 난 네 엄마의 총에 죽었다.. "
8,14,공장사장,"그리고 악마는 내 엄마에게 완전히 옮겨 갔지.. 너의 가족들의 죽음.. 모든 건 악마가 널 차지하기 위해서였어.."
8,15,엘리스,"말도 안돼.. 내가 뭐라고.. 나한테 왜 이러는 거야?"
8,16,공장사장,"쉽게 믿을 수는 없겠지만.. 그게 진실이다.. 그럼 잘 자렴..."
8,17,엘리스,"잠깐!"
9,0,엔비,"넌 이제 완전히 내 가족이야!! 흐흐흐"
