EventNum,SpeakNum,Speaker,Speak
1,0,,웃음 속의 눈물
2,0,"엘리스의 오빠는 어렸을 때 부터 남을 웃기는 재주가 있어서 언제나 가족들을 즐겁게 했고, 사람들에게 웃음을 주는 사람이 되고 싶어했다.",
2,1,"하지만 연이은 데뷔 실패로 엘리스의 오빠는 점점 실의에 빠졌고 결국 그의 얼굴에는 웃음이 사라졌다.",
2,2,"어느 날 한 마술사가 찾아와 자신이 개발한 특별한 삐에로 분장으로 공연할 것을 제안하였고, 오빠는 지푸라기라도 잡는 심정으로 제안을 받아들였다.",
2,3,"결과는 놀랍게도 대성공이었고 큰 인기를 얻게 된 엘리스의 오빠는 활기를 되찾았고, 엘리스의 집에는 다시 웃음이 넘쳤다.",
2,4,"하지만 성공에 도취된 엘리스의 오빠가 다른 유명한 마술사와 계약해버리자 삐에로 분장을 제공한 마술사는 마지막 공연으로 탈출쇼에 엘리스의 오빠를 섭외했다.",
2,5,"엘리스의 가족들이 보는 가운데 위험한 탈출 마술쇼를 공연하던 엘리스의 오빠는 탈출 장치가 고장이 나서 탈출하지 못하게 되고 몸이 두 갈래로 갈라지게 된다.",
2,6,"하지만 피를 흘리며 마지막 순간까지 관객을 위해 웃음을 유지하는 오빠를 보며 엘리스는 삐에로에 대해 큰 트라우마를 가지게 된다.",
4,0,엘리스,"뭐야?? 대체 여긴 어디야?"
4,1,엘리스,"난... 분명히 침대에서 자고 있었는데..."
4,2,엘리스,"꿈..? 그치만 꿈 치고는 너무 생생해!"
5,0,삐에로,"아.. 드디어! 드디어!!"
5,1,엘리스,"..저건 대체 뭐야?? 그런데 목소리는 많이 들어본 목소린데... 설마 오빠!?"
5,2,삐에로,"널 기다리고 있었어, 엘리스 히히히..."
7,0,a,"엘리스 너도 이제 곧 영원히 웃게 만들어줄게!"
7,1,b,"도망쳐! 이건 내가 아니야!"
7,2,a,"그냥 가만히 있어! 우리와 함께 하면 고통에서 해방 될 테니까!"
7,3,b,"엘리스 속으면 안돼! 포탄을 대포에 넣고 나에게 쏴!"
7,4,a,"자아.. 이제 신나는 파티를 시작해보자! 즐거운 비명소리가 너한테도 들리지?"
7,5,b,"내 동생을 건들지마! 이제 쇼는 끝났어!"
7,6,a,"쇼가 끝날 때가지는 아무도 못나가! 쇼는 영원히 계속될거야! 큭큭큭.."
8,0,삐에로,"안돼!! 누구 맘대로.. 아직 쇼는 끝나면 안된다고!!"
8,1,오빠,"이제 그만해... 쇼는 잘못된 방향으로 가버렸어... 이제 끝이야.."
8,2,삐에로,"젠장!! 난 억울해! 억울하다고!! 엘리스! 넌 나와 같이 가야해!"
8,3,오빠,"엘리스... 구해줘서 고마워. 그리고 미안하다 널 힘들게 해서..."
8,4,엘리스,"오빠..? 오빠 맞지? 어떻게 된거야?"
8,5,오빠,"내 사랑하는 동생 엘리스야... 잘 자렴..."
8,6,엘리스,"오빠!!"
9,0,삐에로,"드디어 잡았다, 엘리스!! 크하하하"
