EventNum,SpeakNum,Speaker,Speak
1,0,,거짓된 종말
2,0,"엘리스의 할머니는 원래 귀족 집안의 혈통이었지만, 평민이었던 할아버지와 사랑에 빠져 결혼을 하셨다.",
2,1,"그래서 살림살이는 넉넉치 않았지만 늘 기품 있게 행동했고, 결혼하기 전 집에서 가지고 온 값비싼 보석들로 치장을 하며 자신의 명예를 지켜나갔다.",
2,2,"하지만 경제적으로 점차 힘들어지면서 할아버지는 할머니의 진짜 보석들을 몰래 하나씩 팔았고, 그 자리를 가짜 보석들로 채워나갔다.",
2,3,"자식들이 모두 장성하고 나서야 할머니는 우연히 딸에게 줄 보석을 감정하는 과정에서 자신의 보석들이 전부 가짜라는 사실을 알게 된다.",
2,4,"그녀는 남편과 가족에게 큰 회의감을 느끼고 그들과 멀어졌으며, 그 후로 벌어졌던 자신의 아들 딸들에게 벌어진 비극도 철저히 외면했다.",
2,5,"그리고 자신은 가짜 보석들로 치장하며 과시를 했고, 그것을 본 엘리스의 삼촌들이 할머니에게 보석을 나누어 달라고 하자 욕설과 함께 내쫓아 버린다.",
2,6,"하지만 보석이 가짜인 줄 모르고 보석에 탐이 난 삼촌들은 할머니 집에 불을 질러 할머니를 집 밖으로 내보내고 보석을 훔치려 했다.",
2,7,"하지만 할머니는 보석에 대한 집착으로 끝까지 집에 남아있다가 불에 타 죽고 말았고, 엘리스는 이 소식을 듣고 화재에 대한 트라우마가 생기게 된다.",
4,0,엘리스,"여긴 어디지? 너무 뜨거워..."
4,1,엘리스,"또 다시 꿈 속으로 들어온거야, 엄마 말대로 정말 악마가 있다면... 도대체 악마는 누구지? 왜 나를 노리는 거지?"
5,0,네글렉트,"아이구, 우리 귀여운 손녀 엘리스... 널 만나러 왔단다!"
5,1,엘리스,"...저건 대체 뭐야? 그런데 이 목소리는 많이 들어본 목소린데... 설마 할머니!?"
5,2,네글렉트,"엘리스야 할머니 뱃속에 값비싼 보석들이 잔뜩 있으니 어서 들어오렴, 히히히..."
7,0,a,"엘리스, 이건 내가 널 삼키면 넌 모든 보석을 다 가질 수 있어!"
7,1,b,"엘리스, 어서 피하거라! 이건 내가 아니란다."
7,2,a,"엘리스, 한번만 물어보면 안되겠니? 나한테 물리고 나면 모든 고통이 다 사라질거야. 히히히.."
7,3,b,"엘리스야 내 몸에서 나온 보석을 석상에 끼워서 나를 공격하렴!"
7,4,a,"왜 자꾸 이 할머니를 피하는 거니? 다들 바랬던 관심을 주고 있지 않니? 어서 이리로 와!"
7,5,b,"넌 이미 실패했어! 내 손녀를 더 이상 건들지마!"
7,6,a,"내 뱃 속에서 영원히 잠을 자게 될거야, 엘리스!"
8,0,네글렉트,"안돼!! 난 아직 엘리스를 삼키지 못했다고! 가장 비싼 보석이니까 삼켜야 해!"
8,1,할머니,"이 노친네야.. 죽을 때 들고 갈수도 없는 보석에 왜 그리도 집착하는가.. 가족을 살피지 못한 내 죄도 크니 같이 손을 잡고 하늘로 가세나..."
8,2,네글렉트,"그럴 수는 없어! 내 보석을! 저 빛나는 엘리스를 놓고 갈 수는 없어!!"
8,3,할머니,"이 못난 할머니를 용서해 다오 엘리스, 네 덕분에 이제서라도 하늘로 갈 수 있게 되었구나... 정말로 고맙구나..."
8,4,할머니,"지나고 나면 부질없는 일에 왜 그렇게 집착했던건지.. 넌 부디 이 할머니의 어리석음을 되풀이 하지 말거라... 그럼 잘 자렴..."
8,5,엘리스,"할머니...? 할머니 맞죠? 이게 도대체 어떻게 된 일이에요!"
8,6,할머니,"...이제 3일 밤만 남았구나... 3일만 잘 버티거라..."
8,7,엘리스,"할머니!!"
9,0,네글렉트,"이제 뱃 속으로 들어가자꾸나 엘리스!! 히히히"
