EventNum,SpeakNum,Speaker,Speak
1,0,,파멸을 향한 질주 
2,0,"엘리스의 쌍둥이 삼촌들은 우애가 좋아 어떤 일을 하던 늘 함께 했고 엘리스를 끔찍히 아꼈다.",
2,1,"삼촌들은 자라면서 구속을 싫어하고 자유롭게 행동하는 것을 좋아했고 그것은 방탕한 생활로 이어졌다.",
2,2,"유흥과 도박으로 돈이 떨어지자 그들은 주변사람들에게 계속해서 돈을 빌렸고 가족들과 주변사람들은 점차 그들에게서 멀어졌다.",
2,3,"하지만 삼촌들은 자신들의 아지트에서 술에 취한채 언젠가 큰 돈을 벌 수 있을 거라는 막연한 기대만 하고 있었다.",
2,4,"그러다 엘리스의 할머니가 갖고 있는 많은 보석들을 떠올리고 그녀에게 찾아가 보석을 나누어 달라고 하지만 거절당한다.",
2,5,"할머니의 보석은 가짜였지만 그런 줄 모르고 보석에 탐이 난 삼촌들은 할머니 집에 불을 지른 후 보석을 훔치는데 성공한다.",
2,6,"그러나 곧 경찰차에 쫒기게 되고 도망치던 삼촌들의 차는 절벽아래로 떨어져 강물에 빠지고 만다.",
2,7,"그들은 익사한 채로 가짜 보석과 함께 발견되고 그 소식을 들은 엘리스는 강물에 대한 트라우마를 갖게 되었다.",
4,0,엘리스,"이번엔 어디에 온 거지? 잠깐 여긴... 와본 적이 있어. 삼촌들이 아지트로 쓰던 방이야."
4,1,엘리스,"그러면 이번에는 삼촌들이 악마의 모습으로 나타나는 걸까?"
5,0,아이스 그리드,"우리 귀엽고 사랑스러운 조카 엘리스! 너무 반가워!  "
5,1,엘리스,"...저건 대체 뭐야? 그런데 목소리는 많이 들어본 목소린데... 이건 삼촌이야!"
5,2,파이어 그리드,"크크큭.. 엘리스, 이제부터 우리가 널 즐겁게 해줄거야! 뜨겁게 태우기도 하고 차갑게 얼리기도 하면서 우리처럼 너도 분리해 줄거야 키키킥... "
7,0,a,"엘리스, 속는 셈치고 우릴 받아들여봐. 인생은 도박이잖아. 안그래? "
7,1,b,"젠장, 어쩌다가 이렇게 됐지!? 이건 내가 아냐. 엘리스 어서 도망쳐! "
7,2,a,"엘리스.. 아이스크림 좋아하지? 이 불덩이를 먹어봐. 온몸이 시원해 질거야 키키킥.. "
7,3,b,"엘리스 내 몸에서 나오는 구슬을 주워서 나에게 던져!"
7,4,a,"한쪽은 태우고 한쪽은 얼리고~ 어때? 멋지지? 일로오면 바로 만들어 줄게! "
7,5,b,"이 멍청아! 넌 왜 끝까지 이렇게 사고만 치냐.. 제발 엘리스를 내버려둬!"
7,6,a,"도망쳐도 소용없어 엘리스! 저항해도 소용없어 엘리스!! "
8,0,파이어 그리드,"젠장! 엘리스, 넌 우리와 함께 불타야 돼! 우리의 고통을 함께 느껴야 한다고!!"
8,1,삼촌,"미친놈.. 자유롭고 멋지게 살고 싶다고 그렇게 날뛰더니 결국 엘리스한테 이런 부끄러운 모습이라니.. "
8,2,아이스 그리드,"으아악... 영혼이 점점 사라진다... 빌어먹을! 엘리스를 얼려서 데려가면 그분의 밑에서 멋지게 살 수 있단 말이다!!"
8,3,삼촌,"엘리스, 삼촌들이 너한테 정말 미안하고 부끄럽다. 이럴 줄 알았으면 한번쯤은 성실하게 제대로 살았어야 했는데.."
8,4,삼촌,"우린 이제부터 벌을 받게 될 거야. 그래도 벌을 받고 죄를 씻을 수 있어서 마음이 편하다. 이게 다 네 덕분이야.. 정말 고마워.."
8,5,엘리스,"삼촌들.. 도대체 어떻게 된 거야.. 나는 이제 어떻게 해야 해?"
8,6,삼촌,"엘리스.. 지금의 네 엄마를 전부 다 믿어선 안돼. 이제 악마 놈도 쓸 수 있는 패가 얼마 남지 않았어."
8,7,삼촌,"끝가지 맞서 싸워야 해! 그럼 잘자렴..."
8,8,엘리스,"삼촌 잠깐만!! "
9,0,파이어 그리드,"엘리스 넌 이제 영원한 즐거움을 누리는거야!! 키키키"
