EventNum,SpeakNum,Speaker,Speak
1,0,엘리스,"밖에 나가는 게 너무 무서워. 안 좋은 일이 생길 것 같아서 나가고 싶지 않아."
2,0,엘리스,"오늘따라 날씨가 쌀쌀하네... 엄마 방은 내 옆방이니까 어서 가보자..."
3,0,엘리스,"집안이 많이 추워졌어... 아직 겨울이 되려면 멀었는데..."
4,0,엘리스,"입에서 김이 나올 정도로 추워... 어서 엄마 방으로 가보자.. "
5,0,엘리스,"오늘은 이상할 정도로 너무 더워... 무슨 타는 냄새가 나는 것 같기도 하고... 무슨 날씨가 이렇게 오락가락 하는 거지?"
6,0,엘리스,"방 안은 많이 더웠는데 복도에 나오니 너무 추워... 벽에 서리가 생길 정도야..."
7,0,엘리스,"오늘은 기름 냄새가 유난히 많이 나고 있어.. 마치 공장 안에 있는 것 같아..."
8,0,엘리스,"어떻게 된 거야? 문이 열리질 않아.."
8,1,엘리스,"갑자기 사방이 점점 어두워지고 있어... 무슨 일이 일어나고 있는 거지?"
9,0,엘리스,"(삐에로 인형 자리에 놓여있는 '그을린 편지'를 확인해봐야겠어)"
10,0,엘리스,"(얼음공주 인형 자리에 놓여있는 '골동품 거래서'를 확인해봐야겠어)"
11,0,엘리스,"(염소 인형 자리에 놓여있는 '화재 감식 보고서'를 확인해봐야겠어)"
12,0,엘리스,"(뱀 인형 자리에 놓여있는 '보석 감정 보고서'를 확인해봐야겠어)"
13,0,엘리스,"(쌍둥이 인형 자리에 놓여있는 '사망진단서'를 확인해봐야겠어)"
14,0,엘리스,"(목각 인형 자리에 놓여있는 '엄마의 일기장'을 확인해봐야겠어)"
15,0,엘리스,"이건 오빠의 공연 데뷔를 기념해서 아빠가 만든 삐에로 인형이야."
15,1,엘리스,"그런데 오늘따라 삐에로 인형이 웃는게 섬뜩하게 느껴져... 기분탓일까?"
16,0,엘리스,"이건 이모가 나한테 선물해줬던 얼음공주 인형이야..."
17,0,엘리스,"이건 이모가 나한테 선물해줬던 얼음공주 인형이야..."
17,1,엘리스,"그런데 오늘따라 얼음공주 인형이 살아있는 것 같아서 오싹하게 느껴져... 기분탓일까?"
18,0,엘리스,"이건 아빠가 크리스마스 선물로 만들어줬던 염소 인형이야..."
19,0,엘리스,"이건 아빠가 크리스마스 선물로 만들어줬던 염소 인형이야..."
19,1,엘리스,"그런데 오늘따라 왜 이렇게 생김새가 사납게 느껴지는 걸까? 마치 날 노려보는 것 같아... 기분 탓일까?"
20,0,엘리스,"이건 할머니가 초등학교 입학기념으로 나한테 선물해 줬던 뱀 인형이야..."
21,0,엘리스,"이건 할머니가 입학기념으로 나한테 선물해 줬던 뱀 인형이야.."
21,1,엘리스,"그런데 오늘따라 왠지 기분 나쁘게 꿈틀대는 것처럼 느껴져.."
22,0,엘리스,"이건 삼촌들이 내가 아주 어렸을 때 선물로 준 인형이라고 엄마가 말해줬어."
23,0,엘리스,"이건 삼촌들이 내가 아주 어렸을 때 선물로 준 인형이라고 엄마가 말해줬어."
23,1,엘리스,"그런데 오늘따라 저 인형들이 날 노려보는 것 같아... "
24,0,엘리스,"이건 아빠친구인 공장 사장님이 크게 투자를 한 신상품이라며 나한테 선물해줬던 인형이야."
25,0,엘리스,"이건 아빠친구인 공장 사장님이 크게 투자를 한 신상품이라며 나한테 선물해줬던 인형이야."
25,1,엘리스,"오늘따라 험상궂은 표정으로 나를 쳐다보는 모습이 너무 생생해서 섬뜩해..."
26,0,엘리스,"이건 내가 어릴 적에 엄마가 생일선물로 만들어줬던 곰 인형이야."
27,0,엘리스,"이건 다음 해 생일 선물이었던 토끼 인형이야."
27,1,엘리스,"이 인형들을 다른 곳에 치워 놓으면 엄마는 항상 인형들을 다시 여기에 가져다 놓으셨어."
28,0,엘리스,"이게 마지막으로 엄마가 만들어준 여우 인형인데 이제는 인형들을 그냥 여기에 두기로 했어."
28,1,엘리스,"인형 때문에 엄마랑 말다툼하는 것도 지쳤어."
29,0,엘리스,"어제 꿈에 곰 인형이 나와서 날 도와줬어... 그런데 발이 왜 이렇게 더러워져 있지?"
30,0,엘리스,"토끼 인형도 어제 꿈에 나왔었어, 이것도 역시 귀에 검게 그을린 흔적이 보여."
31,0,엘리스,"여우 인형도 마찬가지야. 팔 부분에 그을린 자국이 있어."
32,0,엘리스,"어제 꿈에 곰 인형이 나와서 날 도와줬어... 그런데 손이 왜 이렇게 베인 자국이 있지?"
33,0,엘리스,"토끼 인형도 어제 꿈에 나왔었어. 이것도 역시 배에 베인 흔적이 보여."
34,0,엘리스,"여우 인형도 마찬가지야. 머리에 부분에 베인 자국이 있어."
